,columns,missing values count
0,Sensor - 1,7
1,Sensor - 2,21
2,Sensor - 3,91
3,Sensor - 4,91
4,Sensor - 5,91
5,Sensor - 6,91
6,Sensor - 7,91
7,Sensor - 8,56
8,Sensor - 9,14
9,Sensor - 10,14
10,Sensor - 11,14
11,Sensor - 12,14
12,Sensor - 13,14
13,Sensor - 14,21
14,Sensor - 15,21
15,Sensor - 16,21
16,Sensor - 17,21
17,Sensor - 18,21
18,Sensor - 19,21
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,7
22,Sensor - 23,7
23,Sensor - 24,7
24,Sensor - 25,7
25,Sensor - 26,7
26,Sensor - 27,7
27,Sensor - 28,7
28,Sensor - 29,7
29,Sensor - 30,7
30,Sensor - 31,7
31,Sensor - 32,7
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,98
41,Sensor - 42,98
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,7
54,Sensor - 55,7
55,Sensor - 56,7
56,Sensor - 57,7
57,Sensor - 58,7
58,Sensor - 59,7
59,Sensor - 60,35
60,Sensor - 61,35
61,Sensor - 62,35
62,Sensor - 63,35
63,Sensor - 64,35
64,Sensor - 65,35
65,Sensor - 66,35
66,Sensor - 67,35
67,Sensor - 68,35
68,Sensor - 69,35
69,Sensor - 70,35
70,Sensor - 71,35
71,Sensor - 72,35
72,Sensor - 73,3710
73,Sensor - 74,3710
74,Sensor - 75,35
75,Sensor - 76,168
76,Sensor - 77,168
77,Sensor - 78,168
78,Sensor - 79,168
79,Sensor - 80,168
80,Sensor - 81,168
81,Sensor - 82,168
82,Sensor - 83,168
83,Sensor - 84,7
84,Sensor - 85,14
85,Sensor - 86,4277
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,357
90,Sensor - 91,357
91,Sensor - 92,35
92,Sensor - 93,14
93,Sensor - 94,14
94,Sensor - 95,35
95,Sensor - 96,35
96,Sensor - 97,35
97,Sensor - 98,35
98,Sensor - 99,35
99,Sensor - 100,35
100,Sensor - 101,35
101,Sensor - 102,35
102,Sensor - 103,35
103,Sensor - 104,14
104,Sensor - 105,14
105,Sensor - 106,35
106,Sensor - 107,35
107,Sensor - 108,35
108,Sensor - 109,35
109,Sensor - 110,2016
110,Sensor - 111,2016
111,Sensor - 112,2016
112,Sensor - 113,3899
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,168
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,21
122,Sensor - 123,21
123,Sensor - 124,21
124,Sensor - 125,21
125,Sensor - 126,21
126,Sensor - 127,21
127,Sensor - 128,21
128,Sensor - 129,21
129,Sensor - 130,21
130,Sensor - 131,21
131,Sensor - 132,21
132,Sensor - 133,21
133,Sensor - 134,21
134,Sensor - 135,21
135,Sensor - 136,0
136,Sensor - 137,7
137,Sensor - 138,21
138,Sensor - 139,91
139,Sensor - 140,91
140,Sensor - 141,91
141,Sensor - 142,91
142,Sensor - 143,91
143,Sensor - 144,56
144,Sensor - 145,14
145,Sensor - 146,14
146,Sensor - 147,14
147,Sensor - 148,14
148,Sensor - 149,14
149,Sensor - 150,21
150,Sensor - 151,21
151,Sensor - 152,21
152,Sensor - 153,21
153,Sensor - 154,21
154,Sensor - 155,21
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,5397
158,Sensor - 159,5397
159,Sensor - 160,7
160,Sensor - 161,7
161,Sensor - 162,7
162,Sensor - 163,7
163,Sensor - 164,7
164,Sensor - 165,7
165,Sensor - 166,7
166,Sensor - 167,7
167,Sensor - 168,7
168,Sensor - 169,7
169,Sensor - 170,7
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,98
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,7
191,Sensor - 192,7
192,Sensor - 193,7
193,Sensor - 194,7
194,Sensor - 195,7
195,Sensor - 196,7
196,Sensor - 197,35
197,Sensor - 198,35
198,Sensor - 199,35
199,Sensor - 200,35
200,Sensor - 201,35
201,Sensor - 202,35
202,Sensor - 203,35
203,Sensor - 204,35
204,Sensor - 205,35
205,Sensor - 206,35
206,Sensor - 207,35
207,Sensor - 208,35
208,Sensor - 209,35
209,Sensor - 210,35
210,Sensor - 211,168
211,Sensor - 212,168
212,Sensor - 213,168
213,Sensor - 214,168
214,Sensor - 215,168
215,Sensor - 216,168
216,Sensor - 217,168
217,Sensor - 218,168
218,Sensor - 219,7
219,Sensor - 220,14
220,Sensor - 221,4277
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,357
225,Sensor - 226,357
226,Sensor - 227,35
227,Sensor - 228,14
228,Sensor - 229,14
229,Sensor - 230,35
